ID,Name,Distance (metres),Grade (%),KOM (seconds),QOM (seconds),Athletes,Category,Bearing
25752519,Högevall,457.2,1.2,,,,0,
25385849,Klostergårdsvallen runt,1153.6,0,226,325,25,0,W
23844894,måryd->grillplats 8,385.5,11.3,,,,0,
11704559,Stadsparken Korta,858,0,159,,645,0,SW
14534578,Klostergården IP genom Stadsparken,1107.5,-0.2,,,71,0,E
4706177,MÅRYD Climb,786,6.4,228,,35,0,
7984536,Rise beyond bus stop,766.0999755859375,1.8,161,,68,0,NE
24918477,Sista 3 dammarna från trappan,534.6,0.2,,,,0,
8430574,Sewage works hill,843,1.1,165,225,878,0,SE
20009660,Arena Service Road Southwestbound,414.5,-0.7,74,90,630,0,SW
21530603,Parkpromenaden,425,-0.7,66,88,1474,0,SE
8665801,Backen dammarna till Trollebergsvägen,598.4,2.9,,,,0,
15769994,Åkervägen,726.5999755859375,-0.10000000149011612,137,,47,0,
22000312,Hjalmar uphill,837.5999755859375,1.6,,,,0,
17350431,E22 - Lund östra till Hardebergaspåret,549.7999877929688,1.9,,,,0,
8175194,Mean Machine (reverse),588,0.6,,,,0,
23591779,E22 uppför,550.2000122070312,3.2,,,,0,
28458676,"Lundaloppet 2021 del 2, Södra Lund",4721.1,0,917,1044,220,0,E
13314824,Stadsparken innervarvet,918.4,0,168,172,702,0,SW
8728485,"Quick, 12 years late for school! ",343,4.099999904632568,72,,213,0,N
14523893,Out 'n back ,2476,0,516,,13,0,
5828359,Tornavägen undre,870.2,2.5,194,,215,0,
8505884,Stadsparken runt (clockwise),1221,-0.1,258,,81,0,
6814314,Stadsparken runt,1258.5999755859375,0,269,,107,0,
14771116,Stadsparken rakan,418.4,-0.8,,,,0,
20636697,Högevall,452.2,-1,,,,0,
8618527,Ö Fäladsv U-backe,213.5,-0.3,,,95,0,W
16536662,Uppför Pedellgatan,390.1,2.8,77,,204,0,N
2729780,Stadsparksvarvet,1364.8,0,264,,110,0,S
22000401,Hjalmar downhill,768,-2.2,,,,0,
5182296,Lunds Reningsverksdammar,1647.4,-0.1,340,428,537,0,SE
31695073,Hemska kilometer sju,999.7,2.1,,,,0,
24132620,Lundaloppet Segment Challenge - Vilken start!!!,1497.8,0,281,308,722,0,S
14832850,Uppför Sankt Jörgens park,340,2.7,81,,162,0,N
16408034,Sankt Jörgen runt,724.4000244140625,0,142,,22,0,E
18752551,Fyra dammar runt,1477.2,0,291,344,199,0,NW
8737629,Lundaloppet - Bot. Garden Hill,602,2.3,129,,243,0,
12043677,HBSP Tornav to Autostradan,551.7,1.7,110,,1013,0,NE
8020798,Hardebergaspåret,2453.5,0.2,554,,64,0,E
11583051,Rakt genom stadsparken,741.7,-1,143,,496,0,S
17008350,Assarhusavägen backen,309.4,2.9,70,,47,0,
1338259,"Lundaloppet, 5km",5001.2,0.1,1129,1476,11,0,NW
9445083,Lundaloppet 2015,9566.2001953125,0.10000000149011612,,,161,0,NW
12661678,Tornastigningen,1398.9,2,,,,0,
12632811,Längs dammarna,795,0.10000000149011612,151,,247,0,
34319063,Lundaloppet Botaniska,563.3,0.8,,,,0,
9428846,Hardeberga spår till Galjevångsbacktopp,267.29998779296875,6.4,76,,41,0,N
8164525,Trollebergsvägen hill,688,1.3,,,,0,
23621430,Trollebergsrondellen to Byggmästaregatan,776.2,-0.2,168,191,535,0,N
24253112,Lundaloppet Segment Challenge - Centrala Idrottsplatsen,740.2,0,134,211,22,0,E
34319076,Last km Lundaloppet,1017.4,-0.2,,,,0,
14719044,"Lunds arena 3,5 varv ca 1500 m",1513.3,-0.1,262,,369,0,
11661406,Lunds arena 400 m (knappt ett varv),420.9,-0.2,0,0,136,0,E
14719053,Lunds arena 1 varv ca 400 m,407.2,-0.2,58,,417,0,
14718965,Lunds arena 5 km,5011.3,0,933,,237,0,
19970530,två varv (ca 800m),843.8,0,134,,381,0,
18892939,Garden loop clockwise from Agardhsgatan,964.9,0,210,269,90,0,SE
8164530,Trollebergsvägen (full),1793,1.4,,,,0,
7281717,Hardebergaspåret Bridge 1-Bridge 2 (uphill),758,1.5,139,,960,0,NE
25701440,"Tillträde förbjudet, överträdelse beivras",695.2,-1.4,,,,0,
8728552,Diabolus in musica,602,2.2,123,,463,0,N
15558826,Lund arena 3/4 varv ca 300m,305.5,-1.7,40,,925,0,
15106861,Lunds arena 1/2 varv ca 200m,195.5,-2.4,17,,913,0,
13262069,Through the tree,248.89999389648438,3.0999999046325684,52,,72,0,E
19300378,1000 meter,1000.5,-0.2,177,,375,0,
17374162,E22Norr,620.4,3.7,19,206,6,0,N
15925848,Negativa höjdmeter med positiva effekter.,693.2,-2.2,,,,0,
21120840,MF Sandbyvägen västerut,285.5,-1.5,,,,0,
13246681,Rinnebäcksravinen light,569.9,2.3,,,,0,
22593354,sommarlovsparken - 400m,385.1,-0.8,,,,0,
23955922,Lundaloppet Segment Challenge - Först till gymmet vinner!,677.9,2.2,,,,0,
7437258,Botan-Möllevången,2227.2,0,,,,0,
27015585,Lundagård,236,-1.7,,,,0,
24253166,Lundaloppet Segment Challenge - Lokföraren,613.2,-0.5,107,161,231,0,NW
29069721,"Moturs runt Bjeredsparken, start i söder. ",1255.5,0,255,359,40,0,W
30678708,Lund Tuna - Uppför bakom fotbollsplanen,145.8,2.5,,,,0,
26702679,Hardeberga Bridge 2-1 downhill ,820.4000244140625,-1.5,,,,0,
7605423,Hardebergaspåret Bridge 2-3 Uphill,1227,0.2,,,,0,
8049429,Hardebergaspåret Bridge 1-Bridge 2 (downhill),760.4000244140625,-1.5,,,,0,
21120827,MF Hardebergaspåret österut,706.4,-0.2,,,,0,
8833469,Sölvegatan hela backen,490.5,3.3,87,115,724,0,NE
35608720,Uppför Sölvegatan,646.7,2.3,,,,0,
21796330,"trollskogsv->hällestadsv, via skog ",1376.4,-1.7,,,,0,
30496699,Lund - Tuna bakom E22 norrut,339.5,0.4,,,,0,
16536643,Torn Away,465.2,2.1,100,,357,0,
23241798,Diet Rinnebäcksravinen,492.6,-1.7,,,,0,
22878054,Önnerupsvägen till Värpinge,1413.5,0.4,,,,0,
25515255,Runt Värpinge golfbana och halva dammarna,4636.9,0,1195,0,2,0,SW
7605487,Hbsp - Built for Speed,1598,-1.5,266,,791,0,SW
34800568,UB-Parken - Helgonavägen,303.3,2.4,,,,0,
12240950,Rinnebäcksravinen,1002,-1.2,193,,326,0,
24439103,Önnerupsvägen to Fjelievägen,1480.7,0.2,,,,0,
32908632,Cykelaffairs,351.3,-1.9,60,87,348,0,SW
10311817,Lejonbragden - Start Hardebergaspåret,10000.4,0,,,,0,
8028141,Väster till St Hans,1549.1,0.8,,,,0,
14649573,Next to the field,511.6,1,102,,139,0,S
25701377,Genvägen till Hardebergaspåret,244.9,3.3,,,,0,
20394754,Hardeberga hela ÖT,1844.6,-0.7,,,,0,
4474273,Utmarksvägen-Kungsmarken,1478.3,-0.4,277,,811,0,E
17621876,Upp till Måryd,663.7,4.3,,,,0,
30783092,Trench under Utmarksvägen,448.2,0,82,95,1407,0,W
7605437,Hardebergaspåret Bridge 2-3 Downhill,1252,-0.2,,,,0,
16662728,Tuna Sprint,597.7,-0.4,105,,210,0,
29898757,Tuna sprint,582.8,-0.7,,,,0,
26698740,Upp genom LTH,615.4,1.8,127,162,263,0,N
8481693,dirt track 2,639.5999755859375,1.1,,,,0,
7136979,Lejonbragden östra slinga,5382.1,0,,,,0,
14720908,Sprint to work,581.8,2,123,,317,0,
29237509,Lundaloppet 2021 Östra Lund del 4,6456.9,0,,,,0,
24335908,Bjeredsparken runt,1320.7,0,260,391,38,0,W
7136972,Lejonbragden västra slinga,4482.7,0,1007,1326,26,0,SE
9055566,1km svett,985.4,0.9,,,,0,
22400373,Lejonbragden 2020 - Västra slingan,4290,-0.2,,,,0,
8772526,Vandrarhem Tåget Memorial,691,0.2,128,181,197,0,SE
22400400,Lejonbragden 2020 - Östra slingan,5765.1,0.1,,,,0,
30496709,Lund - ÖT Coop-Nappträdet,350.1,-1.5,,,,0,
28072827,Medicon Village - Höjdpunkten,545.4,2.2,,,,0,
30821628,Kung Oskars Bro - Max till topp,197,3.6,29,31,740,0,E
20706102,Decent Hill,864.5,2.8,,,,0,
8752885,Kung Oskars Bro - from Max to Klv.,529,2.5,93,135,624,0,E
6427398,Golfbanan - Utmarksvägen,1547.4,0.3,294,,643,0,
7766491,Hbsp - Tunnelbanan,1468,-0.4,190,,290,0,
24218441,Lundaloppet Segment Challenge - Varvet,2175.7,0,435,594,61,0,E
25158916,Bjärred-Habo kilometern,1063.4,-0.6,,,,0,
2935941,"LAGK 2,5 km",2481.340087890625,0,,,53,0,NE
23621381,Fågelskolan to Trollebergsvägen N-S,1029.4,0.3,,,,0,
5777534,SANDBY Climb,509.9,10.7,,,10,0,S
19853335,"hällestadsv->trollskogsv, via skog",1311.9,2.5,,,,0,
8535003,Hbsp - Cage of Cats,1500,0.4,297,,447,0,
7766374,Hbsp - Far Gone And Out,2743,-0.7,336,,163,0,
7766403,Almbacksvägen Hill,894,4.3,150,,96,0,
8658535, Almbacksvägen - 2 Minute Hill,534,4.8,91,,99,0,
10599560,Önnerupsrakan,2946.5,0.3,,,,0,
5777538,Bokvägen Climb,1280.2,3.7,532,0,1,0,S
